Area,Year,Item,Crop Yield (tons/hectare),Avg Rainfall (mm/year),Pesticide Turns,Avg Temperature (C),Soil Quality
1,2023,4,3.2,1367.74,7,28.33,3
4,2020,1,2.82,1199.58,7,24.24,0
1,2024,1,3.73,824.52,10,34.16,1
3,2020,1,4.89,814.32,9,28.31,1
3,2023,2,4.67,1137.73,9,22.53,3
2,2020,3,3.83,701.78,7,32.42,3
3,2019,4,4.75,804.56,8,30.01,0
3,2022,4,2.41,1296.45,1,24.95,2
3,2024,1,3.75,588.13,3,19.14,2
0,2022,4,2.86,1381.09,1,16.08,0
1,2023,3,5.83,853.96,8,21.55,1
4,2024,0,1.63,780.45,3,17.1,0
4,2021,0,4.0,1033.07,9,19.33,0
1,2023,0,4.66,1009.61,2,20.8,1
2,2022,1,5.46,1396.09,9,18.84,1
2,2022,4,3.47,912.95,5,17.82,1
1,2020,4,1.8,825.84,7,26.63,3
0,2022,3,2.59,676.75,1,15.37,1
0,2022,4,2.65,1267.72,3,24.84,0
3,2024,4,3.7,1454.88,4,16.77,1
4,2019,4,3.43,1167.08,4,17.92,0
1,2020,0,2.17,912.48,2,22.88,2
0,2019,1,3.97,1205.7,2,27.35,1
1,2022,0,2.69,934.85,7,34.41,3
4,2019,4,3.26,1159.61,4,21.32,0
0,2021,0,2.86,1025.43,8,24.73,0
4,2022,1,3.41,712.6,7,17.51,2
4,2021,2,4.31,755.17,1,34.37,2
0,2023,0,4.4,1274.6,9,21.24,2
2,2023,1,6.16,1332.04,10,24.44,2
4,2022,2,3.8,1161.47,4,24.18,1
3,2022,0,2.77,535.0,8,23.19,2
1,2023,2,3.57,1375.35,10,31.99,2
3,2024,0,4.71,1323.7,10,15.63,3
1,2024,3,3.79,1106.35,10,27.02,3
4,2023,3,4.45,529.84,10,22.43,2
0,2021,0,3.6,529.23,7,18.5,2
4,2021,4,3.06,536.25,2,17.24,1
4,2021,0,2.06,986.32,1,28.28,2
1,2024,3,1.69,1250.87,1,33.21,0
3,2024,0,1.51,992.41,5,19.24,3
2,2022,4,3.68,1054.45,8,23.34,3
0,2023,0,4.57,666.67,7,18.53,1
2,2019,2,5.35,817.52,6,32.22,1
2,2024,0,4.9,949.86,9,26.54,0
1,2021,1,2.33,1017.82,1,21.37,0
3,2020,1,4.24,1327.87,7,27.81,2
4,2024,4,2.55,667.18,4,22.13,3
0,2019,1,2.2,535.97,8,16.51,2
1,2022,3,2.78,677.54,4,18.88,2
1,2019,3,3.01,786.59,2,26.0,3
1,2021,4,2.3,1151.55,1,25.74,2
4,2024,4,4.59,1306.37,6,28.8,2
1,2020,4,4.38,950.35,3,20.85,2
4,2020,1,3.33,555.83,9,34.47,2
0,2023,4,3.31,1041.26,2,24.67,0
2,2024,1,3.39,728.76,1,23.92,3
0,2023,0,5.29,1408.97,9,23.82,0
4,2023,2,3.67,1076.88,6,32.29,0
3,2022,2,4.29,807.6,4,25.02,2
0,2023,4,3.77,1283.43,5,24.45,1
0,2019,3,2.52,1490.19,6,19.46,3
1,2023,3,4.42,905.06,2,33.91,1
4,2020,0,2.14,1356.76,4,26.86,3
4,2022,2,2.81,680.84,10,28.8,2
1,2023,2,2.74,1088.91,2,16.91,3
2,2022,1,3.42,854.97,10,30.6,3
2,2023,3,1.79,803.82,8,31.42,3
0,2020,2,2.43,849.17,4,17.69,1
4,2021,3,1.76,1002.52,1,32.28,3
2,2024,4,3.01,1002.43,6,25.01,3
4,2020,2,3.29,1372.37,7,33.16,0
1,2022,3,5.17,1313.55,8,18.26,2
2,2020,2,1.43,501.86,5,16.81,0
1,2019,2,2.16,757.22,2,34.48,0
3,2023,3,3.45,828.51,7,20.37,2
4,2024,1,2.93,943.71,10,32.82,2
2,2021,4,3.57,640.3,3,34.74,1
3,2021,2,1.12,621.18,9,34.05,3
2,2023,3,3.26,806.41,2,17.07,1
0,2021,3,2.08,1081.94,9,33.92,0
2,2024,2,1.77,812.43,6,16.39,3
4,2019,4,4.49,1010.0,10,16.11,2
3,2021,0,4.26,1483.45,5,34.21,1
0,2019,1,2.97,1358.96,4,19.83,3
0,2020,4,4.64,1328.87,3,25.11,1
3,2024,3,3.2,585.01,4,32.2,3
2,2019,3,3.28,1001.95,1,27.42,1
0,2023,2,2.27,584.07,8,28.73,0
1,2020,4,5.13,1090.71,9,32.27,1
1,2024,3,4.79,1407.69,3,32.04,1
0,2024,1,5.78,664.93,8,21.96,1
1,2021,3,3.63,657.0,7,27.71,1
3,2024,2,4.53,1433.57,10,24.83,2
3,2024,4,3.36,1420.74,9,31.73,2
4,2020,0,4.4,1138.12,3,24.28,0
2,2020,3,3.25,681.45,4,23.49,1
2,2020,0,2.18,870.21,2,29.46,0
1,2021,2,4.65,838.62,1,21.16,2
4,2021,3,3.24,926.96,8,22.74,1
4,2024,4,1.97,545.68,8,20.78,3
0,2023,0,5.09,1093.25,8,30.14,0
0,2021,1,4.26,1019.61,6,17.27,2
1,2021,2,5.48,1379.88,6,22.85,2
2,2023,3,4.81,1205.64,10,24.79,1
1,2024,1,4.21,964.62,5,31.55,1
2,2023,0,4.59,1184.67,7,26.55,0
4,2023,4,2.17,817.36,10,17.35,3
1,2019,4,3.12,1249.31,5,27.47,0
2,2021,2,4.42,530.36,6,27.28,1
0,2019,4,2.87,1252.43,1,28.18,1
2,2022,0,3.86,1050.59,4,31.76,3
0,2023,2,3.02,1350.46,10,21.38,3
2,2023,4,4.69,1183.13,5,15.87,0
1,2020,1,2.94,600.61,8,30.77,3
4,2020,4,3.98,630.14,4,22.77,1
1,2023,2,2.65,548.71,8,34.91,1
3,2023,2,3.11,1242.52,6,25.47,2
1,2023,4,3.47,1223.04,8,15.79,1
3,2020,2,5.09,1238.86,10,27.49,2
4,2023,4,3.45,1261.55,5,19.83,2
1,2024,3,3.91,561.48,4,21.75,0
2,2019,4,2.71,781.92,9,18.91,3
3,2024,1,1.44,678.18,4,17.51,0
4,2021,0,3.82,744.79,10,33.57,0
0,2019,1,2.1,606.24,4,20.38,2
2,2024,0,5.31,1059.72,7,26.81,1
2,2021,0,2.41,1141.81,8,16.27,3
3,2019,2,4.09,1230.21,7,15.15,3
4,2019,3,4.69,1071.89,1,31.47,2
4,2020,0,2.99,1493.83,10,20.27,3
4,2023,3,3.95,1190.27,3,32.08,3
3,2020,4,4.09,852.3,2,32.29,1
2,2023,0,3.2,1290.53,10,29.29,2
0,2023,4,1.37,640.55,1,18.47,3
4,2019,1,2.02,1194.67,1,20.68,3
0,2021,1,3.93,1017.56,4,28.93,2
2,2020,3,5.48,1257.45,5,22.12,2
1,2020,4,2.53,759.38,2,20.89,2
1,2020,0,4.09,1430.3,3,18.09,1
2,2019,0,5.03,974.63,10,17.06,2
3,2020,1,4.25,1097.3,8,20.09,0
0,2023,3,3.53,1046.01,1,20.28,0
3,2022,4,5.5,1352.13,6,22.79,1
3,2022,0,3.79,989.25,6,24.05,2
0,2024,4,2.5,753.51,8,27.94,2
1,2022,2,4.6,1010.97,7,24.52,3
1,2022,0,4.04,1146.41,1,30.22,0
4,2023,0,3.71,708.54,2,15.42,2
0,2019,2,2.5,1004.02,10,24.14,3
4,2022,1,1.31,1337.2,3,34.97,3
3,2020,3,3.84,1495.39,5,22.63,2
3,2020,3,5.99,1167.4,9,15.55,1
2,2020,4,5.15,1293.64,6,24.14,1
2,2020,0,1.42,809.35,3,25.75,3
4,2023,0,4.88,712.56,8,29.74,2
4,2021,3,3.63,775.88,3,32.07,1
3,2022,1,3.62,860.54,5,16.45,2
2,2020,4,3.66,1307.41,2,19.19,1
3,2023,3,3.55,750.56,2,26.45,3
3,2024,2,4.96,1129.93,3,30.83,2
0,2019,1,3.53,689.31,7,33.57,2
4,2021,1,1.2,686.2,1,29.83,3
4,2024,1,3.17,1259.11,4,32.76,0
3,2023,1,3.05,554.06,9,20.52,0
4,2024,0,2.77,742.44,5,31.39,1
0,2019,2,6.1,1191.63,8,22.52,1
3,2019,3,5.46,847.89,10,32.41,1
3,2021,4,4.24,693.56,7,24.08,3
0,2019,0,2.75,951.77,6,20.81,2
2,2021,1,3.33,971.23,5,32.49,3
1,2022,2,4.08,699.68,4,32.82,1
3,2019,2,4.72,1178.36,9,21.87,0
2,2021,0,3.47,1490.72,7,31.29,2
0,2020,0,3.21,1127.31,5,34.71,0
2,2019,1,2.43,840.01,10,21.74,3
2,2020,2,3.72,531.75,7,23.82,2
4,2022,4,5.63,1473.42,7,21.24,1
1,2020,2,5.96,630.97,9,23.76,1
4,2019,2,2.82,578.84,3,19.8,3
4,2020,1,1.9,967.93,1,28.62,2
4,2024,2,2.9,1207.57,6,16.3,2
2,2019,3,4.11,1072.69,8,22.28,3
3,2023,3,3.3,1452.17,2,20.74,3
1,2022,3,1.07,640.7,4,26.77,3
4,2020,2,3.53,1173.39,8,23.66,3
3,2022,1,4.19,620.78,7,32.88,0
4,2023,2,3.74,1396.57,5,17.95,2
1,2023,4,4.03,932.58,8,30.98,3
4,2020,2,3.08,917.11,7,24.19,2
3,2021,1,4.58,849.43,2,19.74,2
0,2023,4,4.83,618.55,1,27.52,1
0,2022,0,3.45,1304.58,7,26.7,0
3,2022,4,4.09,735.34,1,33.88,1
2,2022,3,1.95,1491.64,7,34.2,3
3,2022,0,3.48,1394.97,8,18.5,0
1,2019,3,2.36,975.05,8,15.08,0
4,2020,2,1.76,1441.78,4,31.17,3
0,2019,3,1.83,965.57,2,27.47,0
0,2024,3,3.85,1052.02,1,28.79,1
